일련번호,이름,생년월일,나이,성별,주소,우편번호,핸드폰번호,직업,고객등급,relational_duration,recept_balance,permit_new_credit_balance,housing_new_balance,exchange_per_year,remittance_per_quantlie,smart_bank_yn,my_money_yn,income_avg,internet_bank_cnt,internet_bank_balance,apt_yn,commerce_class,etc
R00000012,최설랑,1950-05-02,69,F,서울시 금천구 독산1동,153-011,010-7632-8337,과학및기술서비스업,골드스타,3,1606685,436775363,1200000,0,0,n,n,190000,0,0,n,pb센터,NA
R00000013,김육휴,1985-10-17,34,F,서울시 마포구 대흥동,121-080,010-4939-2896,과학및기술서비스업,프리미엄스타,17,868878,34883727,1300000,0,0,y,n,200000,0,0,n,영업점,NA
R00000014,유활별,1998-11-08,21,M,서울시 금천구 대림3동,150-073,010-2184-3849,제조업,골드스타,1,5260714,3492819,1400000,0,0,n,y,210000,0,0,n,영업점,NA
R00000015,신로회,1970-12-13,49,M,서울시 양천구 신월1동,158-091,010-1310-6766,보건업및사회복지서비스업,프리미엄스타,18,761039,70117998,1500000,0,0,n,n,42618127,0,0,n,영업점,NA
R00000016,임서월,1976-08-03,43,F,서울시 강서구 가양1동,157-201,010-8034-2790,도매및소매업,로얄스타,2,24375307,15993659,1600000,0,0,n,n,220000,39,4644000,n,영업점,NA
R00000017,김온완,1989-05-17,30,F,서울시 금천구 시흥5동,153-035,010-7839-5683,방송통신및정보서비스업,골드스타,15,6722935,58735946,1700000,0,0,n,n,53829613,26,4668000,n,영업점,NA
R00000018,황현칠,1989-01-15,30,M,서울시 서대문구 연희동,120-110,010-6769-1546,도매및소매업,골드스타,3,7637614,18260268,1800000,0,0,y,n,230000,0,0,n,pb센터,NA
R00000019,임각람,1961-06-27,58,M,서울시 성북구 정릉4동,136-104,010-4975-2124,건설업,프리미엄스타,5,940464,2213187,1900000,0,0,n,n,240000,0,0,n,영업점,NA
R00000020,김휴균,1964-04-19,55,F,서울시 성북구 월곡2동,136-132,010-7392-2493,도매및소매업,프리미엄스타,16,144388,170221169,2000000,8200000,2050000,n,n,250000,15,4248000,n,pb센터,NA
R00000021,김철복,1985-09-01,34,M,서울시 금천구 시흥3동,153-033,010-1233-4995,제조업,프리미엄스타,1,956606,58896408,2100000,0,0,n,n,260000,39,1080000,n,pb센터,NA
R00000022,김랑득,1968-04-16,51,F,서울시 서초구 반포1동,137-041,010-2108-1586,제조업,프리미엄스타,17,276973,28128709,2200000,0,0,n,n,270000,0,0,n,영업점,NA
R00000023,김규매,1957-08-27,62,F,서울시 구로구 고척2동,152-082,010-8197-8674,교육서비스업,골드스타,18,6027400,13613215,2300000,0,0,n,n,280000,0,0,n,영업점,NA
R00000024,김탁복,1990-05-30,29,M,서울시 성동구 금호4가동,133-094,010-3950-2693,운수업,로얄스타,2,15277198,4825385,2400000,0,0,n,n,290000,38,384000,n,영업점,NA
R00000025,장우을,1964-09-26,55,M,서울시 은평구 불광1동,122-041,010-4231-8765,제조업,프리미엄스타,16,487355,24047306,2500000,0,0,y,n,74050005,0,0,n,콜센터,NA
R00000026,이애기,1955-05-30,64,M,서울시 강북구 삼양동,142-106,010-4412-1241,숙박및음식점업,프리미엄스타,9,494724,693526481,2600000,0,0,n,n,300000,25,20772000,n,영업점,NA
R00000027,성우오,1984-04-12,35,M,서울시 서초구 방배1동,137-061,010-5872-1883,도매및소매업,프리미엄스타,12,925521,57323358,2700000,0,0,n,n,77210044,22,18552000,n,영업점,NA
R00000028,윤방춘,1955-04-29,64,M,서울시 양천구 목2동,158-052,010-2149-8673,전기 및 수도사업,프리미엄스타,16,658829,2647697,2800000,0,0,n,n,310000,0,0,n,영업점,NA
R00000029,강화초,1956-01-22,63,F,서울시 서초구 반포2동,137-042,010-8062-0421,부동산업및임대업,프리미엄스타,16,287867,50891167,2900000,0,0,y,n,320000,0,0,n,영업점,NA
R00000030,김일현,1957-11-02,62,M,서울시 송파구 풍납2동,138-042,010-5089-1391,도매및소매업,프리미엄스타,7,129727,29094628,113054805,0,0,n,n,330000,0,0,n,영업점,NA
R00000031,안용래,1958-12-05,61,M,서울시 은평구 증산동,122-100,010-6304-1221,교육서비스업,프리미엄스타,6,954681,900821691,3100000,0,0,n,n,27347258,0,0,n,영업점,NA
R00000032,이질강,1966-10-06,53,M,서울시 마포구 성산2동,121-252,010-5045-1820,보건업및사회복지서비스업,프리미엄스타,3,129188,54284674,3200000,0,0,n,n,340000,0,0,n,영업점,NA
R00000033,정항니,1959-07-22,60,M,서울시 강북구 우이동,142-090,010-3735-8246,보건업및사회복지서비스업,프리미엄스타,13,921333,4227337,3300000,0,0,y,n,350000,0,0,n,영업점,NA
R00000034,유래방,1958-07-18,61,F,서울시 금천구 시흥5동,153-035,010-7447-4862,제조업,프리미엄스타,9,875126,2928074,3400000,0,0,n,n,360000,0,0,n,영업점,NA
R00000035,박동추,1960-01-01,59,M,서울시 서초구 서초2동,137-072,010-5912-8577,제조업,MVP스타,9,344830290,5539748,3500000,0,0,n,n,39350452,11,4152000,n,영업점,NA
R00000036,우웅모,1970-06-19,49,M,서울시 송파구 풍납1동,138-041,010-6956-2375,운수업,골드스타,11,6527095,3921206,3600000,0,0,n,n,34353976,40,13740000,n,pb센터,NA
R00000037,전광창,1996-05-23,23,M,서울시 중랑구 묵1동,131-141,010-8194-3797,교육서비스업,프리미엄스타,7,197850,87313097,3700000,0,0,n,n,370000,0,0,n,콜센터,NA
R00000038,양귀흠,1962-09-02,57,M,서울시 서초구 방배3동,137-063,010-4196-6260,금융및보험업,프리미엄스타,7,957069,67562960,3800000,0,0,n,n,380000,0,0,n,콜센터,NA
R00000039,장로언,1987-06-17,32,M,서울시 동대문구 회기동,130-050,010-6442-7911,도매및소매업,프리미엄스타,10,488392,1887793,3900000,0,0,n,n,390000,31,19236000,n,영업점,NA
R00000040,김돌복,1984-07-20,35,M,서울시 서초구 방배2동,137-062,010-5613-5993,제조업,로얄스타,23,23131196,407988943,4000000,3300000,0,n,n,400000,35,2352000,n,영업점,NA
R00000041,박두악,1985-06-04,34,M,서울시 도봉구 쌍문2동,132-032,010-8510-6710,제조업,골드스타,8,2898424,5988615,154188080,0,0,y,n,410000,0,0,n,영업점,NA
R00000042,강지경,1973-02-24,46,F,서울시 강동구 명일1동,134-071,010-7689-6495,도매및소매업,골드스타,17,4483468,6581425,4200000,0,0,n,n,420000,0,0,n,영업점,NA
R00000043,권승난,1972-10-31,47,M,서울시 중랑구 신내2동,131-132,010-7224-2925,제조업,프리미엄스타,2,298737,1019300,4300000,0,0,n,n,430000,26,984000,n,영업점,NA
R00000044,박웅죽,1965-04-24,54,F,서울시 서초구 내곡동,137-180,010-5022-6223,제조업,프리미엄스타,19,38457,27445838,4400000,0,0,n,n,440000,0,0,n,영업점,NA
R00000045,최종청,1973-06-04,46,F,서울시 도봉구 방학2동,132-022,010-7501-2766,제조업,로얄스타,9,28989077,27229894,4500000,0,0,n,n,450000,35,14544000,n,영업점,NA
R00000046,전중화,1970-11-07,49,M,서울시 은평구 역촌동,122-070,010-2519-0911,도매및소매업,프리미엄스타,8,604665,14217966,154667155,0,0,n,n,460000,0,0,n,영업점,NA
R00000047,이억녀,1994-01-01,25,F,서울시 도봉구 창5동,132-045,010-9973-0024,금융및보험업,프리미엄스타,6,76425,11488364,4700000,0,0,n,n,470000,0,0,n,영업점,NA
R00000048,김억백,1966-05-03,53,F,서울시 양천구 신월1동,158-091,010-1185-5034,제조업,골드스타,6,6189128,5166493,4800000,0,0,n,n,480000,0,0,n,영업점,NA
R00000049,김존,1956-08-19,63,F,서울시 금천구 시흥5동,153-035,010-1686-9882,건설업,골드스타,1,2043616,64576059,4900000,0,0,n,n,490000,16,1104000,n,pb센터,NA
R00000050,김인휘,1967-11-30,52,F,서울시 양천구 신정7동,158-077,010-9714-8162,제조업,로얄스타,2,16399013,36108716,5000000,0,0,y,n,500000,0,0,n,영업점,NA
R00000051,안거희,1973-02-07,46,F,서울시 동대문구 답십리1동,130-031,010-7112-1055,보건업및사회복지서비스업,프리미엄스타,3,851265,100965841,5100000,0,0,n,n,510000,0,0,n,영업점,NA
R00000052,고주남,1956-12-07,63,F,서울시 서초구 반포본동,137-049,010-5281-2983,방송통신및정보서비스업,프리미엄스타,6,823884,659450887,5200000,0,0,n,n,520000,35,18516000,n,영업점,NA
R00000053,박묘달,1968-11-09,51,M,서울시 관악구 서원동,151-017,010-2536-1531,제조업,골드스타,11,3763050,958716173,5300000,0,0,n,n,530000,0,0,y,영업점,NA
R00000054,유달선,1976-06-11,43,M,서울시 마포구 상암동,121-270,010-5495-0488,건설업,골드스타,2,8941414,15683207,5400000,0,0,n,n,540000,25,4428000,n,pb센터,NA
R00000055,김선초,1984-08-28,35,M,서울시 광진구 화양동,143-130,010-6319-5141,사업시설관리및사업지원서비스업,MVP스타,2,291005890,388543619,5500000,0,0,y,n,13784572,0,0,n,영업점,NA
R00000056,신염음,1988-08-20,31,M,서울시 서초구 양재1동,137-131,010-2929-5632,제조업,로얄스타,7,15942407,16505365,5600000,9300000,2325000,n,n,57907936,0,0,n,영업점,NA
R00000057,정규화,1992-08-07,27,F,서울시 금천구 도림동,150-080,010-8921-6136,보건업및사회복지서비스업,프리미엄스타,2,751529,3645806,5700000,0,0,n,n,550000,33,480000,n,영업점,NA
R00000058,장표본,1996-01-25,23,F,서울시 양천구 신정3동,158-073,010-6715-3035,보건업및사회복지서비스업,프리미엄스타,17,294685,77778154,5800000,0,0,n,n,31397941,0,0,n,영업점,NA
R00000059,김성염,1965-02-17,54,M,서울시 강북구 송천동,142-102,010-3658-8196,도매및소매업,프리미엄스타,3,356140,78429584,5900000,0,0,n,n,560000,0,0,n,영업점,NA
R00000060,하제배,1971-10-17,48,M,서울시 송파구 석촌동,138-190,010-2037-5745,도매및소매업,프리미엄스타,16,251564,17973031,6000000,0,0,y,n,24852621,0,0,n,pb센터,NA
R00000061,박점법,1965-12-23,54,F,서울시 동대문구 이문1동,130-081,010-9106-0166,운수업,골드스타,18,5080172,70922561,6100000,0,0,n,n,570000,38,3180000,n,영업점,NA
R00000062,이어배,1963-12-04,56,M,서울시 중랑구 신내2동,131-132,010-8433-4968,사업시설관리및사업지원서비스업,골드스타,15,4438877,121617894,6200000,0,0,n,n,580000,34,8052000,n,pb센터,NA
R00000063,차면원,1980-06-19,39,M,서울시 양천구 목1동,158-051,010-9887-0273,수리및기타개인서비스업,프리미엄스타,4,827063,75645130,6300000,0,0,n,n,590000,0,0,y,pb센터,NA
R00000064,이득언,1981-05-13,38,F,서울시 강남구 삼성2동,135-092,010-2482-0424,전기 및 수도사업,프리미엄스타,2,551779,238179073,6400000,0,0,y,n,600000,0,0,n,pb센터,NA
R00000065,김빈늠,1988-08-12,31,M,서울시 중랑구 묵2동,131-142,010-7029-0084,금융및보험업,MVP스타,21,652462056,487088913,6500000,0,0,n,n,610000,0,0,n,pb센터,NA
R00000066,박여고,1987-11-25,32,F,서울시 광진구 중곡3동,143-223,010-9880-2523,방송통신및정보서비스업,프리미엄스타,12,37741,131013574,6600000,0,0,y,n,620000,0,0,n,영업점,NA
R00000067,정육륜,1979-03-04,40,M,서울시 강서구 화곡본동,157-019,010-2221-7935,도매및소매업,프리미엄스타,8,890072,15096560,6700000,0,0,n,n,630000,0,0,n,영업점,NA
R00000068,강채항,1988-08-30,31,M,서울시 광진구 중곡1동,143-221,010-9877-8027,숙박및음식점업,프리미엄스타,14,329148,51545212,6800000,0,0,n,n,640000,0,0,n,영업점,NA
R00000069,강국륜,1956-07-27,63,M,서울시 강서구 화곡본동,157-019,010-9984-9698,교육서비스업,골드스타,8,4709410,3196835,6900000,0,0,n,n,650000,0,0,n,영업점,NA
R00000070,한천응,1960-09-11,59,M,서울시 송파구 송파2동,138-172,010-8924-9096,건설업,로얄스타,4,23207001,35405506,7000000,0,0,n,n,660000,19,5868000,n,콜센터,NA
R00000071,김동겸,1966-04-27,53,M,서울시 은평구 갈현1동,122-051,010-1442-2042,건설업,프리미엄스타,4,704359,306150646,7100000,164600000,0,n,n,670000,39,10716000,n,콜센터,NA
R00000072,김극학,1985-12-04,34,M,서울시 송파구 잠실본동,138-229,010-6149-6642,건설업,프리미엄스타,11,304655,16116900,7200000,0,0,n,n,680000,0,0,n,영업점,NA
R00000073,김묘두,1973-12-31,46,F,서울시 동대문구 회기동,130-050,010-4475-7532,숙박및음식점업,프리미엄스타,19,272012,60271539,7300000,0,0,n,n,690000,14,19104000,n,영업점,NA
R00000074,박환용,1999-08-29,20,M,서울시 강남구 삼성2동,135-092,010-7696-2351,금융및보험업,프리미엄스타,17,80691,27888728,7400000,0,0,n,n,700000,23,4056000,n,영업점,NA
R00000075,김건박,1992-10-09,27,F,서울시 강서구 등촌1동,157-031,010-9686-3031,제조업,프리미엄스타,18,776140,96181265,87552246,0,0,n,n,39120133,22,5556000,n,영업점,NA
R00000076,박상황,1962-07-16,57,M,서울시 은평구 응암3동,122-013,010-1808-8585,건설업,프리미엄스타,10,28781,24326724,7600000,0,0,n,n,710000,13,20844000,n,pb센터,NA
R00000077,노백몽,1995-12-06,24,F,서울시 중랑구 상봉1동,131-221,010-4517-3703,수리및기타개인서비스업,프리미엄스타,14,233148,425396846,97777520,0,0,n,n,720000,0,0,n,영업점,NA
R00000078,이찬교,1992-01-25,27,F,서울시 서대문구 북가좌2동,120-132,010-7351-5513,국방및사회보장행정,MVP스타,18,573401241,3165691,7800000,0,0,n,n,730000,0,0,n,영업점,NA
R00000079,김막윤,1953-07-06,66,M,서울시 강남구 일원본동,135-239,010-7628-7636,과학및기술서비스업,프리미엄스타,4,991966,932007900,7900000,0,0,y,n,740000,29,1752000,n,pb센터,NA
R00000080,원평동,1987-11-01,32,M,서울시 광진구 광장동,143-210,010-4583-3537,도매및소매업,프리미엄스타,1,461398,26681717,8000000,0,0,n,n,750000,12,276000,n,pb센터,NA
R00000081,이응국,1950-08-06,69,F,서울시 서초구 서초1동,137-071,010-2176-1377,과학및기술서비스업,프리미엄스타,16,836539,14546874,98185312,0,0,n,n,760000,0,0,n,pb센터,NA
R00000082,구숙개,1956-05-22,63,M,서울시 마포구 서교동,121-210,010-4624-7549,보건업및사회복지서비스업,골드스타,5,7736475,273371714,8200000,128900000,32225000,n,n,770000,0,0,n,콜센터,NA
R00000083,양영좌,1969-05-02,50,M,서울시 마포구 망원1동,121-231,010-2621-6470,금융및보험업,로얄스타,4,10659072,19692681,8300000,0,0,n,n,10356125,0,0,n,콜센터,NA
R00000084,박기광,1996-09-07,23,M,서울시 강서구 방화3동,157-223,010-3181-7833,제조업,로얄스타,15,28815961,13222326,8400000,0,0,y,n,780000,0,0,n,영업점,NA
R00000085,김옥염,1978-03-18,41,F,서울시 양천구 신정3동,158-073,010-6424-1116,제조업,MVP스타,9,309864936,67159463,8500000,0,0,n,n,790000,0,0,n,pb센터,NA
R00000086,이혁범,1963-04-24,56,M,서울시 강서구 등촌3동,157-033,010-7899-5367,교육서비스업,로얄스타,5,19664286,40432550,8600000,0,0,n,n,800000,0,0,n,영업점,NA
R00000087,이비월,1967-12-11,52,F,서울시 성북구 동선동,136-051,010-9088-1502,도매및소매업,로얄스타,10,26256297,1125102,8700000,0,0,n,n,810000,0,0,n,영업점,NA
R00000088,이태협,1975-02-15,44,M,서울시 양천구 신정3동,158-073,010-7853-5671,제조업,골드스타,5,6283253,1320173,8800000,0,0,n,n,23838066,15,19284000,n,영업점,NA
R00000089,임운서,1995-09-20,24,F,서울시 강남구 대치4동,135-284,010-7900-1610,운수업,프리미엄스타,6,610752,51598662,8900000,0,0,n,n,38716812,33,4872000,n,영업점,NA
R00000090,차잠충,1966-09-14,53,F,서울시 금천구 시흥5동,153-035,010-1195-4132,국방및사회보장행정,로얄스타,2,14573172,22752566,9000000,0,0,n,n,820000,0,0,n,영업점,NA
R00000091,손루염,1951-03-07,68,F,서울시 성동구 금호3가동,133-093,010-3680-3638,수리및기타개인서비스업,골드스타,14,5118899,2347645,9100000,0,0,n,n,46225496,18,4056000,n,pb센터,NA
R00000092,최암형,1984-09-18,35,M,서울시 송파구 석촌동,138-190,010-1953-3017,건설업,프리미엄스타,21,425965,348886814,9200000,0,0,n,n,830000,0,0,n,pb센터,NA
R00000093,최풍배,1990-03-27,29,M,서울시 성북구 정릉2동,136-102,010-4619-7777,국방및사회보장행정,프리미엄스타,9,709256,5845661,9300000,0,0,n,n,840000,0,0,y,영업점,NA
R00000094,오부생,1998-08-13,21,F,서울시 서대문구 홍2동,120-092,010-1811-9915,금융및보험업,로얄스타,7,20402797,4523191,9400000,0,0,n,n,850000,18,16416000,n,영업점,NA
R00000095,장항트,1982-07-23,37,F,서울시 동작구 상도3동,156-033,010-8386-3912,건설업,프리미엄스타,8,101449,30994477,9500000,0,0,y,n,860000,0,0,n,pb센터,NA
R00000096,김성립,1969-01-10,50,F,서울시 중랑구 신내1동,131-131,010-8487-8170,과학및기술서비스업,골드스타,14,8591724,332252195,9600000,0,0,n,n,870000,0,0,n,pb센터,NA
R00000097,김왕묵,1973-09-29,46,F,서울시 도봉구 창2동,132-042,010-2812-7805,부동산업및임대업,프리미엄스타,2,655268,184173359,9700000,0,0,y,n,880000,10,1812000,n,영업점,NA
R00000098,변위풍,1985-12-17,34,F,서울시 중랑구 면목7동,131-207,010-2593-9399,스포츠및여가관련서비스업,프리미엄스타,3,266304,10225564,9800000,0,0,n,n,890000,27,4908000,n,pb센터,NA
R00000099,최추황,1986-03-23,33,M,서울시 금천구 독산3동,153-013,010-2215-7013,부동산업및임대업,골드스타,3,3946151,1383820,9900000,0,0,n,n,900000,0,0,n,영업점,NA
R00000100,김겸몽,1968-01-14,51,M,서울시 동대문구 용신동,130-070,010-1773-1130,스포츠및여가관련서비스업,프리미엄스타,3,65286,67795355,100000,0,0,y,n,910000,0,0,n,pb센터,NA
R00000101,김슬휴,1965-10-02,54,M,서울시 동대문구 이문1동,130-081,010-6102-2518,부동산업및임대업,프리미엄스타,13,908489,15480051,200000,0,0,y,n,920000,29,4308000,n,영업점,NA
R00000102,김납용,1996-12-07,23,F,서울시 서대문구 북가좌2동,120-132,010-2051-8077,교육서비스업,프리미엄스타,10,405409,4452420,300000,0,0,n,n,930000,0,0,n,영업점,NA
R00000103,정후표,1982-07-02,37,F,서울시 서대문구 북가좌2동,120-132,010-7173-7730,교육서비스업,프리미엄스타,17,279572,14419792,400000,0,0,n,n,940000,0,0,n,pb센터,NA
R00000104,우환래,1994-05-16,25,F,서울시 동대문구 휘경1동,130-091,010-6074-8529,교육서비스업,프리미엄스타,10,414055,13341118,500000,0,0,n,n,950000,0,0,n,pb센터,NA
R00000105,이슬탁,1956-01-16,63,F,서울시 노원구 월계2동,139-052,010-1630-4681,도매및소매업,골드스타,18,3844676,31751100,600000,0,0,n,n,960000,0,0,n,영업점,NA
R00000106,심의순,1971-06-12,48,F,서울시 구로구 구로3동,152-053,010-9366-4044,부동산업및임대업,프리미엄스타,17,416921,24152062,700000,0,0,n,n,970000,15,16500000,y,영업점,NA
R00000107,차견점,1961-05-07,58,M,서울시 강동구 암사3동,134-053,010-5420-7647,과학및기술서비스업,로얄스타,12,19512419,89042398,800000,32300000,0,y,n,980000,15,2484000,n,영업점,NA
R00000108,배등렬,1980-06-12,39,F,서울시 광진구 중곡3동,143-223,010-7119-7314,숙박및음식점업,프리미엄스타,10,309794,6054837,900000,0,0,y,n,16270875,0,0,n,영업점,NA
R00000109,김환유,1950-08-24,69,M,서울시 금천구 독산2동,153-012,010-4488-6734,제조업,골드스타,15,1613015,4364821,1000000,0,0,n,n,56926007,0,0,n,영업점,NA
R00000110,한산륜,1989-07-23,30,M,서울시 성동구 옥수동,133-100,010-5068-4532,제조업,프리미엄스타,10,163980,20558747,1100000,0,0,n,n,990000,0,0,n,영업점,NA
R00000111,김목준,1971-09-09,48,F,서울시 은평구 진관동,122-120,010-7832-4193,도매및소매업,프리미엄스타,11,799413,4851918,1200000,0,0,y,n,100000,0,0,n,영업점,NA
R00000112,김범라,1994-03-22,25,M,서울시 동작구 상도4동,156-034,010-1226-0887,과학및기술서비스업,프리미엄스타,3,144710,126290960,1300000,0,0,n,n,31388648,25,16092000,n,pb센터,NA
R00000113,이향임,1986-12-31,33,F,서울시 강서구 화곡1동,157-011,010-4314-6836,교육서비스업,프리미엄스타,9,460681,5951066,1400000,8000000,2000000,n,n,110000,0,0,n,영업점,NA
R00000114,김조단,1970-04-07,49,M,서울시 중구 황학동,100-440,010-7018-7486,제조업,로얄스타,2,23447174,634535551,1500000,0,0,y,n,120000,0,0,n,영업점,NA
R00000115,김춘붕,1989-11-15,30,M,서울시 강북구 송중동,142-101,010-9374-9919,도매및소매업,프리미엄스타,1,692350,250268919,1600000,0,0,n,n,130000,0,0,n,영업점,NA
R00000116,김여신,1963-09-15,56,M,서울시 동대문구 이문1동,130-081,010-2534-4504,제조업,골드스타,7,1199823,51908230,1700000,0,0,n,n,140000,0,0,n,영업점,NA
R00000117,신라악,1960-07-07,59,F,서울시 강남구 수서동,135-220,010-9095-4502,운수업,프리미엄스타,16,929154,4150724,1800000,0,0,n,n,150000,20,2328000,n,pb센터,NA
R00000118,이후풍,1981-01-22,38,F,서울시 강남구 논현2동,135-012,010-7551-5335,방송통신및정보서비스업,골드스타,20,7567561,11119689,1900000,0,0,n,n,160000,0,0,n,영업점,NA
R00000119,조임삼,1965-06-03,54,F,서울시 은평구 증산동,122-100,010-8316-1041,국방및사회보장행정,골드스타,5,1546922,1634920,2000000,0,0,n,n,170000,0,0,n,영업점,NA
R00000120,김염익,1992-07-18,27,F,서울시 양천구 목2동,158-052,010-6491-7715,국방및사회보장행정,골드스타,9,3418298,2630359,2100000,0,0,n,n,180000,0,0,n,pb센터,NA
R00000121,김견환,1973-05-13,46,M,서울시 송파구 장지동,138-210,010-9183-0669,제조업,골드스타,17,4572467,21621187,2200000,0,0,y,n,13483595,0,0,y,영업점,NA
R00000122,김리소,1980-08-15,39,F,서울시 도봉구 쌍문3동,132-033,010-2903-3824,국방및사회보장행정,프리미엄스타,15,862976,2753898,2300000,0,0,n,n,190000,0,0,n,콜센터,NA
R00000123,구설팔,1959-08-19,60,F,서울시 강동구 암사1동,134-051,010-9007-0590,제조업,MVP스타,13,839490738,7776794,2400000,0,0,n,n,200000,0,0,n,영업점,NA
R00000124,염익충,1958-08-02,61,F,서울시 마포구 공덕동,121-020,010-6748-8123,보건업및사회복지서비스업,프리미엄스타,14,996147,46856449,2500000,5900000,0,n,n,210000,0,0,n,영업점,NA
R00000125,박매재,1986-04-10,33,M,서울시 금천구 당산2동,150-042,010-7185-2892,제조업,프리미엄스타,8,935296,18191906,2600000,0,0,n,n,220000,0,0,n,pb센터,NA
R00000126,이생표,1959-07-01,60,F,서울시 양천구 목4동,158-054,010-3890-4207,숙박및음식점업,골드스타,5,4747603,262220349,2700000,0,0,n,n,230000,40,18012000,n,영업점,NA
R00000127,김의완,1983-12-20,36,M,서울시 중구 약수동,100-290,010-2646-3447,건설업,프리미엄스타,13,44619,7121045,2800000,0,0,n,n,39996688,35,19536000,n,영업점,NA
R00000128,조일트,1963-06-28,56,F,서울시 금천구 신길1동,150-051,010-7068-9959,수리및기타개인서비스업,로얄스타,18,16273143,938880716,2900000,0,0,n,n,240000,22,5280000,n,영업점,NA
R00000129,김라휴,1972-01-24,47,M,서울시 동작구 상도3동,156-033,010-6813-8725,사업시설관리및사업지원서비스업,MVP스타,6,778852818,1970409,3000000,0,0,n,n,250000,0,0,n,콜센터,NA
R00000130,박권권,1983-12-27,36,F,서울시 도봉구 방학3동,132-023,010-5704-1840,보건업및사회복지서비스업,프리미엄스타,3,924004,5897348,3100000,0,0,n,n,260000,0,0,n,영업점,NA
R00000131,김야매,1992-04-17,27,F,서울시 서대문구 남가좌2동,120-122,010-1218-8925,금융및보험업,프리미엄스타,11,307365,72134728,3200000,0,0,n,n,270000,24,8544000,n,pb센터,NA
R00000132,김나공,1993-08-25,26,F,서울시 중랑구 묵2동,131-142,010-7071-9580,보건업및사회복지서비스업,골드스타,18,8394779,375874673,3300000,0,0,y,n,280000,31,15648000,y,영업점,NA
R00000133,최봉림,1956-08-25,63,M,서울시 양천구 신정3동,158-073,010-8269-3350,보건업및사회복지서비스업,프리미엄스타,13,884829,382031327,3400000,8400000,2100000,n,n,290000,20,4980000,n,영업점,NA
R00000134,허동흥,1982-02-13,37,F,서울시 은평구 응암1동,122-011,010-9138-5405,도매및소매업,프리미엄스타,12,607461,387276137,3500000,0,0,n,n,300000,0,0,n,pb센터,NA
R00000135,최율덕,1987-08-11,32,M,서울시 노원구 상계4동,139-204,010-3034-5286,교육서비스업,골드스타,6,2283534,6657643,3600000,0,0,n,n,310000,38,17220000,n,영업점,NA
R00000136,강근의,1974-12-20,45,F,서울시 동대문구 장안1동,130-101,010-5038-6518,숙박및음식점업,골드스타,2,6989722,13506142,3700000,0,0,y,n,320000,28,876000,n,영업점,NA
R00000137,이보곤,1983-05-14,36,F,서울시 도봉구 방학1동,132-021,010-8349-3218,건설업,프리미엄스타,11,64386,14741230,3800000,0,0,n,n,330000,0,0,n,영업점,NA
R00000138,이가백,1983-10-03,36,F,서울시 강동구 천호3동,134-023,010-2870-5040,전기 및 수도사업,골드스타,14,5070377,16375332,3900000,0,0,n,n,28568464,14,9948000,n,pb센터,NA
